PD6B	PDHU
PD7B	PDHU
PD8B	PDHU
PD9B	PDHU
SN10B	SNHU
SN11B	SNHU
SN13B	SNHU
SN14B	SNHU
SN15B	SNHU
SN16B	SNHU
SN17B	SNHU
SN18B	SNHU
SN1B	SNHU
SN20B	SNHU
SN21B	SNHU
SN23B	SNHU
SN24B	SNHU
SN25B	SNHU
SN26B	SNHU
SN29B	SNHU
SN2B	SNHU
SN30B	SNHU
SN3B	SNHU
SN4B	SNHU
SN5B	SNHU
SN8B	SNHU
SSS32	SSS
SSS35	SSS
SSS37	SSS
SSS39	SSS
SSS40	SSS
SSS41	SSS
SSS43	SSS
SSS44	SSS
SSS45	SSS
SSS46	SSS
T11ci	TAN
T12ci	TAN
T6xiong	TAN
T7ci	TAN
T8ci	TAN
T9ci	TAN
TA282	TAM
TA298	TAM
TA304	TAM
WDS102	WDS
WDS108	WDS
WDS109	WDS
WDS112	WDS
WDS115	WDS
WDS121	WDS
WDS123	WDS
WDS14	WDS
WDS148	WDS
WDS149	WDS
WDS150	WDS
WDS163	WDS
WDS201	WDS
WDS202	WDS
WDS50	WDS
WDS53	WDS
WDS60	WDS
WDS65	WDS
WDS96	WDS
WDS98	WDS
X14ci	STH
X36ci	STH
YS10B	YSHU
YS11B	YSHU
YS12B	YSHU
YS16BWHYD	YSHU
YS17B	YSHU
YS18B	YSHU
YS1B	YSHU
YS20B	YSHU
YS21B	YSHU
YS22B	YSHU
YS24B	YSHU
YS27B	YSHU
YS28B	YSHU
YS2B	YSHU
YS30B	YSHU
YS3B	YSHU
YS4B	YSHU
YS6B	YSHU
YS8B	YSHU
YS9B	YSHU
Z109ci	PT
Z144xiong	PT
Z20ci	PT
Z21xiong	PT
Z2xiong	PT
Z46xiong	PT
Z47ci	PT
Z77ci	PT
hulun1	HULUN
hulun10	HULUN
hulun11	HULUN
hulun12	HULUN
hulun13	HULUN
hulun14	HULUN
hulun15	HULUN
hulun16	HULUN
hulun17	HULUN
hulun18	HULUN
hulun19	HULUN
hulun2	HULUN
hulun20	HULUN
hulun21	HULUN
hulun3	HULUN
hulun4	HULUN
hulun5	HULUN
hulun6	HULUN
hulun7	HULUN
hulun8	HULUN
hulun9	HULUN
su2197	SUNIT
su2359	SUNIT
su2421	SUNIT
su2427	SUNIT
su2433	SUNIT
su2436	SUNIT
su2445	SUNIT
su2466	SUNIT
su2481	SUNIT
su2491	SUNIT
